,name,code
0,3S,60310
1,AJ네트웍스,95570
2,AK홀딩스,6840
3,APS홀딩스,54620
4,AP시스템,265520
5,AP위성,211270
6,BGF,27410
7,BGF리테일,282330
8,BGF에코머티리얼즈,126600
9,BNK금융지주,138930
10,BYC,1460
11,CBI,13720
12,CJ,1040
13,CJ CGV,79160
14,CJ ENM,35760
15,CJ 바이오사이언스,311690
16,CJ대한통운,120
17,CJ씨푸드,11150
18,CJ제일제당,97950
19,CJ프레시웨이,51500
20,CMG제약,58820
21,CNH,23460
22,CNT85,56730
23,CS,65770
24,CSA 코스믹,83660
25,CS홀딩스,590
26,DB,12030
27,DB금융스팩10호,404950
28,DB금융스팩8호,367340
29,DB금융스팩9호,367360
30,DB금융투자,16610
31,DB손해보험,5830
32,DB하이텍,990
33,DGB금융지주,139130
34,DI동일,1530
35,DL,210
36,DL건설,1880
37,DL이앤씨,375500
38,DMS,68790
39,DN오토모티브,7340
40,DRB동일,4840
41,DSC인베스트먼트,241520
42,DSR,155660
43,DSR제강,69730
44,E1,17940
45,EDGC,245620
46,EG,37370
47,EMB,278990
48,ESR켄달스퀘어리츠,365550
49,ES큐브,50120
50,F&F,383220
51,F&F홀딩스,7700
52,FSN,214270
53,GH신소재,130500
54,GKL,114090
55,GRT,900290
56,GS,78930
57,GST,83450
58,GS건설,6360
59,GS글로벌,1250
60,GS리테일,7070
61,HB솔루션,297890
62,HB테크놀러지,78150
63,HDC,12630
64,HDC랩스,39570
65,HDC현대EP,89470
66,HDC현대산업개발,294870
67,HD현대,267250
68,HJ중공업,97230
69,HK이노엔,195940
70,HL D&I,14790
71,HLB,28300
72,HLB글로벌,3580
73,HLB사이언스,343090
74,HLB생명과학,67630
75,HLB제약,47920
76,HLB테라퓨틱스,115450
77,HL만도,204320
78,HL홀딩스,60980
79,HMM,11200
80,HPSP,403870
81,HRS,36640
82,HSD엔진,82740
83,IBKS제13호스팩,351340
84,IBKS제16호스팩,388790
85,IBKS제17호스팩,405350
86,IBKS제18호스팩,424760
87,IBKS제19호스팩,426550
88,IBKS제20호스팩,439730
89,IBKS제21호스팩,442770
90,IHQ,3560
91,ISC,95340
92,ITX-AI,99520
93,JB금융지주,175330
94,JTC,950170
95,JW생명과학,234080
96,JW신약,67290
97,JW중외제약,1060
98,JW홀딩스,96760
99,JYP Ent.,35900
100,KBG,318000
101,KBI메탈,24840
102,KB금융,105560
103,KB스타리츠,432320
104,KB오토시스,24120
105,KCC,2380
106,KCC건설,21320
